article_id,source,raw_source,symbol,title,summary,content,url,published_at,published_date,usable_from_date,author,tags,image_url,content_length,crawled_at,crawl_error
1448114,vietstock,ajax_list,FPT,Talkshow Fintech: “Chứng khoán và Phân tích kỹ thuật cơ bản” mở ra góc nhìn thực tiễn cho sinh viên Đại học FPT,"Tối ngày 26/05/2026, Khoa Kinh doanh và Luật Trường Đại học FPT phân hiệu Cần Thơ cùng Vietstock và VCBS đã tổ chức thành công Talkshow Fintech với chủ đề “Chứng khoán và Phân tích kỹ thuật cơ bản”. Sự kiện thu hút sự tham gia đông đảo của giảng viên và sinh viên các chuyên ngành Tài chính, Kinh doanh Quốc tế, Quản trị kinh doanh và Logistics.","Talkshow Fintech: “Chứng khoán và Phân tích kỹ thuật cơ bản” mở ra góc nhìn thực tiễn cho sinh viên Đại học FPT
Tối ngày 26/05/2026, Khoa Kinh doanh và Luật Trường Đại học FPT phân hiệu Cần Thơ cùng Vietstock và VCBS đã tổ chức thành công Talkshow Fintech với chủ đề “Chứng khoán và Phân tích kỹ thuật cơ bản”. Sự kiện thu hút sự tham gia đông đảo của giảng viên và sinh viên các chuyên ngành Tài chính, Kinh doanh Quốc tế, Quản trị kinh doanh và Logistics.
Chương trình có sự góp mặt của các chuyên gia trong lĩnh vực tài chính - chứng khoán đến từ Vietstock và Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam( VCBS ).
Về phía Trường Đại học FPT phân hiệu Cần Thơ có sự tham dự của thầy Võ Minh Sang - Trưởng Khoa Kinh doanh và Luật cùng các giảng viên chuyên môn.
Trong bối cảnh thị trường tài chính số phát triển mạnh mẽ, Talkshow đã cung cấp cho sinh viên cái nhìn toàn diện về lĩnh vực chứng khoán, đầu tư tài chính và các xu hướng phân tích hiện nay. Đây là cầu nối giúp sinh viên tiếp cận thực tiễn doanh nghiệp, cập nhật xu hướng nghề nghiệp và mở rộng tư duy đầu tư trong thời đại công nghệ số.
Tại chương trình, diễn giả Nguyễn Hoàng Kim Khánh, Trưởng nhóm Phân tích kỹ thuật & Thị trường, Khối nghiên cứu Vietstock đã chia sẻ góc nhìn thực tiễn về thị trường chứng khoán Việt Nam cũng như nền tảng của phân tích kỹ thuật. Thông qua các ví dụ cụ thể, ông nhấn mạnh rằng phân tích kỹ thuật không chỉ là dự đoán thị trường mà là quá trình đọc hiểu tâm lý nhà đầu tư và hành vi dòng tiền. Các công cụ như MA, RSI hay mô hình giá đã được làm rõ nhằm hỗ trợ sinh viên ra quyết định đầu tư hiệu quả.
Đồng quan điểm, diễn giả Nguyễn Quang Nhựt, Chuyên viên Phân tích nghiên cứu cao cấp VCBS đã cung cấp nhiều thông tin về quá trình phát triển của thị trường chứng khoán Việt Nam. Ông nhấn mạnh tầm quan trọng của tư duy tài chính, quản trị rủi ro và khuyến khích sinh viên xây dựng chiến lược đầu tư bài bản thay vì chạy theo lợi nhuận ngắn hạn.
Đáng chú ý, các chuyên gia đều nhấn mạnh xu hướng ứng dụng mạnh mẽ dữ liệu và công nghệ trong phân tích tài chính. Đây được xem là năng lực cốt lõi mà các doanh nghiệp ưu tiên khi tuyển dụng nhân sự ngành tài chính hiện nay. Với định hướng đào tạo gắn liền với thực tiễn, sinh viên Đại học FPT đang sở hữu lợi thế lớn để thích ứng với xu hướng phát triển của thị trường tài chính số.
Talkshow không chỉ là cơ hội để sinh viên tiếp cận các kỹ năng chuyên môn mà còn là dịp để giao lưu, mở rộng kết nối với doanh nghiệp, từ đó gia tăng cơ hội thực tập và việc làm trong tương lai.
Minh Tài
FILI
- 17:51 28/05/2026
Chứng khoán và Phân tích kỹ thuật cơ bản
hội thảo Vietstock
Đại học FPT Cần Thơ",https://vietstock.vn/2026/05/talkshow-fintech-chung-khoan-va-phan-tich-ky-thuat-co-ban-mo-ra-goc-nhin-thuc-tien-cho-sinh-vien-dai-hoc-fpt-4511-1448114.htm,2026-05-28T18:53+07:00,2026-05-28,2026-05-29,FILI,Chứng khoán và Phân tích kỹ thuật cơ bản|hội thảo Vietstock|Đại học FPT Cần Thơ,https://image.vietstock.vn/2026/05/28/hoi-thao-fpt-vietstock_1748411.jpg,2654,2026-05-29T13:04:18+07:00,
1445917,vietstock,ajax_list,FPT,Vắng bóng giao dịch quỹ đầu tư,Rất ít quỹ đầu tư báo cáo về giao dịch cổ phiếu trong tuần 18-22/05.,"Vắng bóng giao dịch quỹ đầu tư
Rất ít quỹ đầu tư báo cáo về giao dịch cổ phiếu trong tuần 18-22/05.
Giao dịch hiếm hoi và đáng chú ý nhất là việc Forum One - VinaCapital Vietnam Fund báo cáo đã mua vào 100,000 cp tại CTCP Đầu tư và Thương mại TNG ( HOSE : TNG ). Qua đó, quỹ này cùng với nhóm quỹ thuộc VinaCapital đã nâng tổng sở hữu vượt mức 5%, xây dựng đủ vị thế cổ đông lớn tại Doanh nghiệp.
Hoạt động mua vào của nhóm VinaCapital diễn ra trong bối cảnh cổ phiếu TNG đang trên đà rớt giá mạnh kể từ khi chạm đỉnh vào tháng đầu tháng 3/2026. Đây là một trong những cổ phiếu có mức giảm thị giá mạnh nhất tại sàn HNX trong gần 2 tháng qua.
Trong khi đó, tại sàn HOSE , giao dịch duy nhất được thực hiện bởi một quỹ là việc Công ty TNHH MTV Đầu tư SCIC mua vào FPT . Tuy vậy, tỷ lệ sở hữu của đơn vị đầu tư Nhà nước này tại hãng công nghệ vẫn còn tương đối nhỏ.
Ngoài ra, không có bất kỳ quỹ đầu tư nào đăng ký giao dịch trong tuần vừa qua.
Thừa Vân
FILI
- 11:58 24/05/2026
quỹ đầu tư
giao dịch quỹ đầu tư
chuyển động quỹ",https://vietstock.vn/2026/05/vang-bong-giao-dich-quy-dau-tu-3358-1445917.htm,2026-05-24T13:00+07:00,2026-05-24,2026-05-25,FILI,quỹ đầu tư|giao dịch quỹ đầu tư|chuyển động quỹ,https://image.vietstock.vn/2026/05/24/quy-dau-tu_114177.png,1023,2026-05-29T13:04:18+07:00,
1445831,vietstock,ajax_list,FPT,FPT: Thông báo ngày ĐKCC trả cổ tức còn lại năm 2025 bằng tiền mặt,FPT: Thông báo ngày ĐKCC trả cổ tức còn lại năm 2025 bằng tiền mặt,"FPT: Thông báo ngày ĐKCC trả cổ tức còn lại năm 2025 bằng tiền mặt
Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC trả cổ tức còn lại năm 2025 bằng tiền mặt của Công ty Cổ phần FPT như sau:
HOSE",https://vietstock.vn/2026/05/fpt-thong-bao-ngay-dkcc-tra-co-tuc-con-lai-nam-2025-bang-tien-mat-738-1445831.htm,2026-05-22T19:08+07:00,2026-05-22,2026-05-25,HOSE,,https://image.vietstock.vn/common/vst-share.jpg,213,2026-05-29T13:04:18+07:00,
1445322,vietstock,ajax_list,FPT,FPT: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty TNHH MTV Đầu tư SCIC (SIC),FPT: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty TNHH MTV Đầu tư SCIC (SIC),"FPT: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty TNHH MTV Đầu tư SCIC (SIC)
Công ty TNHH MTV Đầu tư SCIC ( SIC ) báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty Cổ phần FPT như sau:
HOSE",https://vietstock.vn/2026/05/fpt-bao-cao-ket-qua-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-cong-ty-tnhh-mtv-dau-tu-scic-sic-737-1445322.htm,2026-05-21T18:19+07:00,2026-05-21,2026-05-22,HOSE,,https://image.vietstock.vn/common/vst-share.jpg,264,2026-05-29T13:04:18+07:00,
1444988,vietstock,ajax_list,FPT,FPT chốt quyền trả cổ tức,"Ngày 19/05, CTCP FPT (HOSE: FPT) công bố nghị quyết HĐQT về việc triển khai phát hành trên 10.8 triệu cp với giá ưu đãi 10,000 đồng/cp cho cán bộ nhân viên có thành tích đóng góp cùng các cán bộ quản lý cấp cao (ESOP).","FPT chốt quyền trả cổ tức
Ngày 19/05, CTCP FPT ( HOSE : FPT ) công bố nghị quyết HĐQT về việc triển khai phát hành trên 10.8 triệu cp với giá ưu đãi 10,000 đồng/cp cho cán bộ nhân viên có thành tích đóng góp cùng các cán bộ quản lý cấp cao (ESOP).
Đợt ESOP lần này được tiến hành căn cứ vào sự thông qua của cổ đông tại cuộc họp thường niên các năm 2023, 2025 và 2026.
Trên sàn chứng khoán, sau khi thông tin được công bố, cổ phiếu FPT giao dịch quanh mức 76,300 đồng/cp tính đến 9h40 ngày 21/05, giảm 1.8% so với giá mở cửa.
Theo văn bản về phương án ESOP từ HĐQT, tổng tỷ lệ phát hành đợt này tương đương khoảng 0.63% lượng cổ phiếu lưu hành của Doanh nghiệp.
Đáng chú ý, với riêng chương trình ESOP dành cho các quản lý cấp cao trong Tập đoàn, 2 lãnh đạo tại đơn vị thành viên là Công ty TNHH FPT IS là những người được mua số lượng cổ phiếu lớn nhất, có giá trị thị trường xấp xỉ 60 tỷ đồng mỗi người. Theo đó, Chủ tịch Trần Đăng Hòa được mua 792 ngàn cp và Tổng Giám đốc Nguyễn Hoàng Minh được mua 764 ngàn cp.
Trong hệ sinh thái của FPT , FPT IS là đơn vị chủ lực chuyên cung cấp các giải pháp chuyển đổi số, tích hợp hệ thống và phần mềm.
Bên cạnh câu chuyện ESOP, HĐQT cũng thông qua nghị quyết chi trả cổ tức tiền mặt còn lại cho năm 2025 với tỷ lệ 10%, tương ứng 1,000 đồng/cp. Xét theo lượng lưu hành trên 1.7 tỷ cp, tổng số tiền thanh toán cho cổ đông xấp xỉ 1.7 ngàn tỷ đồng.
Thừa Vân
FILI
- 10:06 21/05/2026
FPT IS
FPT
ESOP
cổ phiếu ưu đãi",https://vietstock.vn/2026/05/fpt-chot-quyen-tra-co-tuc-764-1444988.htm,2026-05-21T11:08+07:00,2026-05-21,2026-05-21,FILI,FPT IS|FPT|ESOP|cổ phiếu ưu đãi,https://image.vietstock.vn/2026/05/21/FPT-IS-lanh-dao_955215.png,1453,2026-05-29T13:04:18+07:00,
1444887,vietstock,ajax_list,FPT,FPT: Nghị quyết HĐQT về việc phát hành cổ phiếu ESOP,FPT: Nghị quyết HĐQT về việc phát hành cổ phiếu ESOP,"FPT: Nghị quyết HĐQT về việc phát hành cổ phiếu ESOP
Công ty Cổ phần FPT công bố Nghị quyết HĐQT về việc phát hành cổ phiếu ESOP như sau:
HOSE",https://vietstock.vn/2026/05/fpt-nghi-quyet-hdqt-ve-viec-phat-hanh-co-phieu-esop-737-1444887.htm,2026-05-20T18:09+07:00,2026-05-20,2026-05-21,HOSE,,https://image.vietstock.vn/common/vst-share.jpg,142,2026-05-29T13:04:18+07:00,
1444872,vietstock,ajax_list,FPT,FPT: Nghị quyết HĐQT về việc trả cổ tức còn lại năm 2025 bằng tiền mặt,FPT: Nghị quyết HĐQT về việc trả cổ tức còn lại năm 2025 bằng tiền mặt,"FPT: Nghị quyết HĐQT về việc trả cổ tức còn lại năm 2025 bằng tiền mặt
Công ty Cổ phần FPT công bố Nghị quyết HĐQT về việc trả cổ tức còn lại năm 2025 bằng tiền mặt như sau:
HOSE",https://vietstock.vn/2026/05/fpt-nghi-quyet-hdqt-ve-viec-tra-co-tuc-con-lai-nam-2025-bang-tien-mat-737-1444872.htm,2026-05-20T18:08+07:00,2026-05-20,2026-05-21,HOSE,,https://image.vietstock.vn/common/vst-share.jpg,178,2026-05-29T13:04:18+07:00,
1443765,vietstock,ajax_list,FPT,"Cuộc đua VN30 quý 1/2026: BSR “chen chân” top 3 lợi nhuận, Vingroup lên ngôi đầu doanh thu","Quý 1/2026 mở màn với bức tranh lợi nhuận sôi động của nhóm VN30 phi tài chính, khi nhiều doanh nghiệp lớn đồng loạt tăng tốc sau giai đoạn trầm lắng.",Gmail facebook Đăng nhập Nhớ đăng nhập Quên mật khẩu?,https://vietstock.vn/2026/05/cuoc-dua-vn30-quy-12026-bsr-chen-chan-top-3-loi-nhuan-vingroup-len-ngoi-dau-doanh-thu-737-1443765.htm,2026-05-19T09:02+07:00,2026-05-19,2026-05-19,FILI,VN30|ngôi vương|lợi nhuận|lãi ròng|doanh thu|quý 1|2025,https://image.vietstock.vn/2026/05/18/vn-30-18-05_1656492.png,53,2026-05-29T13:04:18+07:00,
1442215,vietstock,ajax_list,FPT,"FPT báo lợi nhuận ròng 3,360 tỷ sau 4 tháng","Trong 4 tháng đầu năm 2026, FPT ghi nhận doanh thu và lợi nhuận tăng trưởng hai chữ số, được dẫn dắt bởi mảng công nghệ, bên cạnh chiến lược mở rộng hợp tác toàn cầu với các ""ông lớn"" như Intel, Salesforce.","FPT báo lợi nhuận ròng 3,360 tỷ sau 4 tháng
Trong 4 tháng đầu năm 2026, FPT ghi nhận doanh thu và lợi nhuận tăng trưởng hai chữ số, được dẫn dắt bởi mảng công nghệ, bên cạnh chiến lược mở rộng hợp tác toàn cầu với các ""ông lớn"" như Intel, Salesforce.
Trong 4 tháng đầu năm 2026, FPT ghi nhận doanh thu 17,228 tỷ đồng và lợi nhuận trước thuế 3,787 tỷ đồng, tăng lần lượt 11.6% và 17.5% so với cùng kỳ.
Lợi nhuận sau thuế cho cổ đông công ty mẹ của FPT đạt 3,360 tỷ đồng, tăng 16% so với cùng kỳ năm trước. Thu nhập trên mỗi cổ phiếu (EPS) đạt 1,972 đồng, tăng trưởng 15.3%.
Riêng trong tháng 4/2026, hoạt động kinh doanh cho thấy doanh thu và lợi nhuận trước thuế tăng trưởng lần lượt 20% và 21.3%.
So với kế hoạch năm 2026 đã được ĐHĐCĐ thông qua với mục tiêu doanh thu 61,850 tỷ đồng và lợi nhuận trước thuế 10,875 tỷ đồng, tập đoàn đã thực hiện được 27.9% chỉ tiêu doanh thu và 34.8% chỉ tiêu lợi nhuận sau 4 tháng.
Khối Công nghệ dẫn dắt đà tăng trưởng
Khối Công nghệ tiếp tục là động lực tăng trưởng chính của tập đoàn khi tổng doanh thu đạt 15,040 tỷ đồng, chiếm 87% tổng doanh thu và lợi nhuận trước thuế đạt 2,131 tỷ đồng, chiếm 56% lợi nhuận trước thuế của Tập đoàn; tương ứng mức tăng trưởng lần lượt 14.1% và 16.6% so với cùng kỳ.
Đóng góp chủ lực vào thành quả chung của khối là mảng dịch vụ Công nghệ thông tin tại thị trường nước ngoài với doanh thu 12,426 tỷ đồng, tăng 13%. Thị trường Nhật Bản tiếp tục là trọng điểm với doanh thu 5,880 tỷ đồng, tăng 23%. Cùng với đó, khối lượng đơn hàng ký mới tại thị trường quốc tế đạt 19,976 tỷ đồng, tăng 30%, đặc biệt ghi nhận việc thắng thầu 9 dự án quy mô lớn trên 10 triệu USD .
Song song đó, mảng chuyển đổi số mang về doanh thu 6,077 tỷ đồng, tăng 25.3% so với cùng kỳ, dẫn dắt bởi Dịch vụ AI/Data Analytics với mức tăng trưởng doanh thu 83.3%.
Các hoạt động hợp tác chiến lược
Trong giai đoạn này, FPT đã đẩy mạnh các hoạt động hợp tác công nghệ quy mô toàn cầu. Tập đoàn đã đạt được thỏa thuận với Intel để ứng dụng AI, công nghệ mô phỏng tốc độ cao và bản sao số trong tối ưu hóa việc vận hành nhà máy. Tại thị trường trong nước, FPT cùng Salesforce đã khai trương Trung tâm Đổi mới Dữ liệu & AI đầu tiên tại khu vực ASEAN đặt tại Hà Nội, tập trung phục vụ tệp khách hàng trong lĩnh vực tài chính - ngân hàng.
Ở lĩnh vực giáo dục, FPT làm việc với các đối tác tại Thâm Quyến, Trung Quốc, hướng tới việc mở rộng chương trình đào tạo nguồn nhân lực và phát triển năng lực thực hành trong công nghệ đóng gói bán dẫn.
Thanh Trúc
FILI
- 17:28 13/05/2026
Kết quả kinh doanh quý 1/2026
FPT
KQKD
hợp tác chiến lược
khối công nghệ",https://vietstock.vn/2026/05/fpt-bao-loi-nhuan-rong-3360-ty-sau-4-thang-737-1442215.htm,2026-05-13T18:30+07:00,2026-05-13,2026-05-14,FILI,FPT|KQKD|hợp tác chiến lược|khối công nghệ,https://image.vietstock.vn/2026/05/13/FPT_172616.jpg,2584,2026-05-29T13:04:18+07:00,
1441753,vietstock,ajax_list,FPT,"Theo dấu dòng tiền cá mập 12/05: Khối ngoại và tự doanh lại cùng bán ròng, FPT tiếp tục thành tâm điểm","Trong phiên thị trường chứng khoán bật tăng trong phiên chiều đầy hứng khởi, khối tự doanh công ty chứng khoán và nhà đầu tư nước ngoài lại đồng thuận bán ròng.","Theo dấu dòng tiền cá mập 12/05: Khối ngoại và tự doanh lại cùng bán ròng, FPT tiếp tục thành tâm điểm
Trong phiên thị trường chứng khoán bật tăng trong phiên chiều đầy hứng khởi, khối tự doanh công ty chứng khoán và nhà đầu tư nước ngoài lại đồng thuận bán ròng.
Cụ thể, khối ngoại thực hiện bán ròng khớp lệnh hơn 798 tỷ đồng trong phiên 12/05, tập trung vào FPT gần 172 tỷ đồng, VHM hơn 140 tỷ đồng, ACB gần 130 tỷ đồng và MSB gần 113 tỷ đồng.
Trái ngược với VHM , hai cổ phiếu khác thuộc nhóm VinGroup là VIC và VRE lại được khối ngoại mua ròng mạnh, lần lượt gần 197 tỷ đồng và hơn 118 tỷ đồng.
Ở phía tự doanh, kịch bản bán ròng cũng diễn ra với quy mô hơn 160 tỷ đồng, đánh dấu phiên bán ròng thứ ba liên tiếp. Dù vậy, áp lực chỉ tập trung chủ đạo tại GEL với gần 163 tỷ đồng bán ròng.
Ở chiều mua ròng, MSN dẫn đầu nhưng quy mô chỉ hơn 25 tỷ đồng, theo sau là STB gần 24 tỷ đồng, VIC gần 19 tỷ đồng.
Huy Khải
FILI
- 18:36 12/05/2026
Các kênh đầu tư
theo dấu dòng tiền cá mập
khối ngoại
tự doanh",https://vietstock.vn/2026/05/theo-dau-dong-tien-ca-map-1205-khoi-ngoai-va-tu-doanh-lai-cung-ban-rong-fpt-tiep-tuc-thanh-tam-diem-830-1441753.htm,2026-05-12T19:38+07:00,2026-05-12,2026-05-13,FILI,theo dấu dòng tiền cá mập|khối ngoại|tự doanh,https://image.vietstock.vn/2026/05/12/ca-map-12-05-2026-1_181697.png,1002,2026-05-29T13:04:18+07:00,
